X,Y
-0.150000,10.426000
-0.150000,10.426000
-0.210000,10.424000
-0.210000,10.424000
-0.274000,10.422000
-0.274000,10.422000
-0.336000,10.424000
-0.396000,10.422000
-0.455000,10.422000
-0.455000,10.422000
-0.455000,10.422000
-0.512000,10.421000
-0.567000,10.416000
-0.567000,10.416000
-0.623000,10.414000
-0.623000,10.414000
-0.680000,10.412000
-0.733000,10.408000
-0.733000,10.408000
-0.733000,10.408000
-0.790000,10.405000
-0.849000,10.402000
-0.912000,10.399000
-0.912000,10.399000
-0.912000,10.399000
-0.968000,10.392000
-1.025000,10.385000
-1.025000,10.385000
-1.081000,10.376000
-1.081000,10.376000
-1.138000,10.367000
-1.202000,10.362000
-1.202000,10.362000
-1.202000,10.362000
-1.264000,10.358000
-1.328000,10.353000
-1.387000,10.349000
-1.387000,10.349000
-1.445000,10.343000
-1.445000,10.343000
-1.506000,10.337000
-1.564000,10.333000
-1.564000,10.333000
-1.620000,10.327000
-1.620000,10.327000
-1.683000,10.324000
-1.683000,10.324000
-1.745000,10.320000
-1.807000,10.316000
-1.807000,10.316000
-1.868000,10.312000
-1.868000,10.312000
-1.925000,10.305000
-1.979000,10.298000
-1.979000,10.298000
-2.036000,10.288000
-2.036000,10.288000
-2.092000,10.282000
-2.092000,10.282000
-2.151000,10.276000
-2.209000,10.269000
-2.209000,10.269000
-2.266000,10.265000
-2.266000,10.265000
-2.329000,10.251000
-2.385000,10.241000
-2.385000,10.241000
-2.430000,10.234000
-2.430000,10.234000
-2.463000,10.228000
-2.485000,10.226000
-2.485000,10.226000
-2.485000,10.226000
-2.514000,10.223000
-2.514000,10.223000
-2.529000,10.221000
-2.529000,10.221000
-2.542000,10.223000
-2.560000,10.222000
-2.560000,10.222000
-2.581000,10.217000
-2.581000,10.217000
-2.606000,10.215000
-2.606000,10.215000
-2.633000,10.213000
-2.661000,10.209000
-2.661000,10.209000
-2.688000,10.209000
-2.714000,10.206000
-2.714000,10.206000
-2.741000,10.201000
-2.741000,10.201000
-2.767000,10.196000
-2.767000,10.196000
-2.796000,10.191000
-2.796000,10.191000
-2.823000,10.186000
-2.850000,10.184000
-2.850000,10.184000
-2.850000,10.184000
-2.899000,10.183000
-2.899000,10.183000
-2.924000,10.182000
-2.924000,10.182000
-2.924000,10.182000
-2.972000,10.177000
-2.972000,10.177000
-2.996000,10.176000
-2.996000,10.176000
-3.022000,10.173000
-3.022000,10.173000
-3.047000,10.173000
-3.071000,10.172000
-3.071000,10.172000
-3.096000,10.170000
-3.096000,10.170000
-3.120000,10.170000
-3.142000,10.168000
-3.142000,10.168000
-3.165000,10.169000
-3.165000,10.169000
-3.187000,10.169000
-3.207000,10.169000
-3.207000,10.169000
-3.227000,10.170000
-3.227000,10.170000
-3.245000,10.173000
-3.245000,10.173000
-3.268000,10.173000
-3.289000,10.174000
-3.289000,10.174000
-3.303000,10.174000
-3.303000,10.174000
-3.313000,10.169000
-3.313000,10.169000
-3.310000,10.163000
-3.302000,10.147000
-3.302000,10.147000
-3.311000,10.140000
-3.311000,10.140000
-3.317000,10.136000
-3.317000,10.136000
-3.305000,10.132000
-3.274000,10.128000
-3.274000,10.128000
-3.230000,10.124000
-3.198000,10.121000
-3.198000,10.121000
-3.188000,10.121000
-3.188000,10.121000
-3.181000,10.137000
-3.181000,10.137000
-3.177000,10.142000
-3.168000,10.146000
-3.161000,10.154000
-3.161000,10.154000
-3.161000,10.154000
-3.168000,10.156000
-3.168000,10.156000
-3.178000,10.159000
-3.185000,10.170000
-3.185000,10.170000
-3.190000,10.177000
-3.194000,10.186000
-3.194000,10.186000
-3.195000,10.191000
-3.195000,10.191000
-3.195000,10.191000
-3.193000,10.187000
-3.193000,10.187000
-3.197000,10.183000
-3.197000,10.183000
-3.203000,10.179000
-3.203000,10.179000
-3.208000,10.177000
-3.217000,10.172000
-3.217000,10.172000
-3.224000,10.166000
-3.224000,10.166000
-3.250000,10.150000
-3.292000,10.124000
-3.292000,10.124000
-3.334000,10.100000
-3.334000,10.100000
-3.370000,10.078000
-3.370000,10.078000
-3.390000,10.065000
-3.399000,10.057000
-3.408000,10.050000
-3.408000,10.050000
-3.408000,10.050000
-3.416000,10.042000
-3.415000,10.040000
-3.415000,10.040000
-3.410000,10.040000
